[0:00] Stormkeeper
[0:00] Ancestral Swiftness
[0:00] Ascendance
[0:01] Lightning Bolt
[0:01] Lightning Bolt
[0:02] Lightning Bolt
[0:02] Lightning Bolt
[0:03] Lightning Bolt
[0:03] Lightning Bolt
[0:03] Spiritwalker's Grace
[0:04] Lightning Bolt
[0:05] Lightning Bolt
[0:05] Lava Burst
[0:05] Lava Burst
[0:06] Lightning Bolt
[0:07] Lightning Bolt
[0:08] Gust of Wind
[0:10] Lightning Bolt
[0:11] Lightning Bolt
[0:11] Lightning Bolt
[0:12] Lightning Bolt
[0:12] Lightning Bolt
[0:13] Lightning Bolt
[0:13] Lightning Bolt
[0:14] Lightning Bolt
[0:14] Lava Burst
[0:14] Lava Burst
[0:17] Elemental Blast
[0:18] Elemental Blast
[0:18] Lightning Bolt
[0:19] Lightning Bolt
[0:20] Lava Burst
[0:21] Lava Burst
[0:21] Elemental Blast
[0:23] Elemental Blast
[0:23] Lightning Bolt
[0:24] Lightning Bolt
[0:24] Lava Burst
[0:24] Lava Burst
[0:25] Lightning Bolt
[0:27] Lightning Bolt
[0:27] Elemental Blast
[0:28] Elemental Blast
[0:28] Lightning Bolt
[0:30] Lightning Bolt
[0:30] Elemental Blast
[0:31] Elemental Blast
[0:31] Lightning Bolt
[0:33] Lightning Bolt
[0:33] Lava Burst
[0:34] Lava Burst
[0:34] Ancestral Swiftness
[0:34] Lava Burst
[0:34] Lava Burst
[0:35] Lightning Bolt
[0:37] Lightning Bolt
[0:37] Lava Burst
[0:37] Lava Burst
[0:38] Lightning Bolt
[0:39] Lightning Bolt
[0:39] Lightning Bolt
[0:41] Lightning Bolt
[0:41] Voltaic Blaze
[0:42] Stormkeeper
[0:43] Stormkeeper
[0:43] Lightning Bolt
[0:43] Lightning Bolt
[0:44] Lightning Bolt
[0:44] Lightning Bolt
[0:46] Lightning Bolt
[0:47] Lightning Bolt
[0:47] Lightning Bolt
[0:48] Ghost Wolf
[0:53] Gust of Wind
[0:56] Lightning Bolt
[1:01] Elemental Blast
[1:03] Elemental Blast
[1:03] Lightning Bolt
[1:05] Lightning Bolt
[1:05] Lava Burst
[1:05] Lava Burst
[1:06] Elemental Blast
[1:07] Elemental Blast
[1:07] Ancestral Swiftness
[1:10] Lightning Bolt
[1:10] Lightning Bolt
[1:11] Lightning Bolt
[1:12] Lightning Bolt
[1:12] Lightning Bolt
[1:13] Lightning Bolt
[1:13] Lightning Bolt
[1:15] Lightning Bolt
[1:15] Voltaic Blaze
[1:16] Lightning Bolt
[1:17] Lightning Bolt
[1:17] Lightning Bolt
[1:19] Lightning Bolt
[1:19] Lightning Bolt
[1:20] Lightning Bolt
[1:20] Elemental Blast
[1:22] Elemental Blast
[1:22] Lightning Bolt
[1:24] Lightning Bolt
[1:24] Lightning Bolt
[1:25] Lightning Bolt
[1:25] Lightning Bolt
[1:26] Lightning Bolt
[1:26] Lava Burst
[1:28] Lava Burst
[1:28] Lightning Bolt
[1:29] Ghost Wolf
[1:32] Gust of Wind
[1:41] Lightning Bolt
[1:42] Lightning Bolt
[1:42] Voltaic Blaze
[1:44] Stormkeeper
[1:45] Stormkeeper
[1:45] Lightning Bolt
[1:45] Lightning Bolt
[1:46] Lightning Bolt
[1:46] Lightning Bolt
[1:47] Lightning Bolt
[1:48] Lightning Bolt
[1:48] Lightning Bolt
[1:50] Lightning Bolt
[1:50] Lava Burst
[1:51] Lava Burst
[1:51] Elemental Blast
[1:53] Elemental Blast
[1:53] Lightning Bolt
[1:54] Lightning Bolt
[1:54] Lightning Bolt
[1:55] Lightning Bolt
[1:55] Lightning Bolt
[1:56] Lightning Bolt
[1:56] Lava Burst
[1:56] Lava Burst
